question_id,video_id,start,end
Interaction_T1_60,6IL0C,0.0,6.9
Interaction_T1_62,7XMBM,16.5,22.8
Interaction_T1_63,AYZS4,29.3,35.0
Interaction_T1_64,AYZS4,0.0,8.2
Interaction_T1_66,AYZS4,14.9,21.9
Interaction_T1_67,6IHRD,7.7,14.2
Interaction_T1_70,4GLAP,16.1,20.7
Interaction_T1_71,4GLAP,15.7,21.4
Interaction_T1_72,CH41S,2.3,10.3
Interaction_T1_73,UJVCW,4.0,10.3
Interaction_T1_74,UJVCW,4.7,10.6
Interaction_T1_75,QLGHA,3.3,10.0
Interaction_T1_76,XO8NL,3.6,12.5
Interaction_T1_77,UE638,0.0,4.2
Interaction_T1_78,OY3LS,2.5,10.1
Interaction_T1_81,OY3LS,34.9,41.4
Interaction_T1_83,CLAWJ,8.1,13.9
Interaction_T1_84,CLAWJ,9.9,15.6
Interaction_T1_85,ALJ7B,2.1,9.8
Interaction_T1_86,ALJ7B,10.8,15.5
Interaction_T1_90,ZMY8M,8.7,16.9
Interaction_T1_91,ZMY8M,9.2,13.8
Interaction_T1_92,ZMY8M,0.0,9.7
Interaction_T1_93,AWN1C,42.0,47.0
Interaction_T1_94,AWN1C,0.0,8.0
Interaction_T1_95,5T0NX,2.3,8.0
Interaction_T1_97,3QL7J,19.1,25.8
Interaction_T1_98,3QL7J,18.7,24.4
Interaction_T1_99,3QL7J,19.7,24.9
Interaction_T1_100,RG0KS,0.0,7.6
Interaction_T1_101,RG0KS,17.4,27.0
Interaction_T1_104,N5PLR,1.6,10.6
Interaction_T1_106,N5PLR,5.2,10.4
Interaction_T1_107,ENOLD,6.6,13.0
Interaction_T1_108,ENOLD,7.2,17.0
Interaction_T1_109,ENOLD,6.6,10.9
Interaction_T1_111,8UCK1,8.7,13.9
Interaction_T1_112,F3M1Q,1.2,6.4
Interaction_T1_113,F3M1Q,1.1,6.4
Interaction_T1_115,02DPI,29.0,35.3
Interaction_T1_116,02DPI,21.3,28.0
Interaction_T1_118,Y89SO,9.6,15.1
Interaction_T1_120,SM4AO,1.0,9.3
Interaction_T1_121,QH3WP,3.4,9.1
Interaction_T1_122,S591U,9.4,17.0
Interaction_T1_123,PUA7P,16.8,26.0
Interaction_T1_124,PUA7P,1.7,6.7
Interaction_T1_125,PUA7P,9.7,15.3
Interaction_T1_126,PUA7P,16.5,26.0
Interaction_T1_132,KE5EM,4.8,9.9
Interaction_T1_133,KE5EM,3.0,8.8
Interaction_T1_134,KE5EM,4.6,9.3
Interaction_T1_135,KE5EM,5.8,10.6
Interaction_T1_137,NUKJ0,19.4,26.6
Interaction_T1_139,NUKJ0,11.0,17.6
Interaction_T1_141,EURF2,22.5,29.4
Interaction_T1_142,EURF2,13.9,23.3
Interaction_T1_143,EURF2,1.2,10.0
Interaction_T1_144,TLDYG,5.8,14.2
Interaction_T1_145,FZAEP,22.1,30.9
Interaction_T1_146,2RFLZ,8.0,12.6
Interaction_T1_147,XOOTA,0.0,6.0
Interaction_T1_148,XOOTA,4.5,9.0
Interaction_T1_149,QE4YE,4.2,9.7
Interaction_T1_150,QE4YE,6.1,11.0
Interaction_T1_152,QI0EL,21.8,26.4
Interaction_T1_156,75M1Z,19.0,27.0
Interaction_T1_157,75M1Z,23.6,29.4
Interaction_T1_158,165K2,9.4,16.5
Interaction_T1_159,165K2,0.4,7.0
Interaction_T1_160,T63X2,30.7,35.8
Interaction_T1_161,YVKIV,4.4,9.2
Interaction_T1_162,KNGRY,17.1,22.5
Interaction_T1_163,KNGRY,15.4,21.1
Interaction_T1_164,ZDV60,23.0,29.3
Interaction_T1_167,XMYXI,22.6,29.2
Interaction_T1_168,Y2MGC,11.5,17.5
Interaction_T1_169,Y2MGC,7.9,15.1
Interaction_T1_170,Y2MGC,6.7,13.1
Interaction_T1_171,LBRYS,8.9,13.4
Interaction_T1_172,LBRYS,12.3,16.8
Interaction_T1_173,LBRYS,7.8,15.4
Interaction_T1_174,GA7SB,12.1,16.2
Interaction_T1_175,SLAH4,3.8,11.2
Interaction_T1_176,3IPI3,10.0,15.9
Interaction_T1_177,3IPI3,7.9,13.0
Interaction_T1_178,T96JC,1.1,8.2
Interaction_T1_179,8TSU4,8.4,13.6
Interaction_T1_180,3G991,0.0,9.2
Interaction_T1_181,N2DZN,13.7,20.1
Interaction_T1_182,N2DZN,13.3,19.1
Interaction_T1_184,KA09C,13.4,18.5
Interaction_T1_188,H0L5S,20.4,27.5
Interaction_T1_190,ZXHCH,19.3,26.0
Interaction_T1_191,ZXHCH,17.9,23.0
Interaction_T1_192,W86WR,11.1,17.4
Interaction_T1_193,3IMTV,21.2,29.1
Interaction_T1_195,C46TD,11.2,19.1
Interaction_T1_196,C46TD,25.9,33.0
Interaction_T1_197,7MRKY,29.9,36.1
Interaction_T1_198,7MRKY,24.8,32.8
Interaction_T1_199,U1DE4,21.1,29.5
Interaction_T1_200,U1DE4,20.1,29.5
Interaction_T1_201,U1DE4,24.1,31.4
Interaction_T1_202,CUQYX,0.0,8.9
Interaction_T1_203,CUQYX,24.3,30.0
Interaction_T1_205,CUQYX,15.1,21.3
Interaction_T1_206,CUQYX,28.5,32.0
Interaction_T1_207,CUQYX,28.6,32.0
Interaction_T1_209,OETY6,14.0,19.4
Interaction_T1_210,7HSZJ,17.2,22.0
Interaction_T1_211,7HSZJ,19.5,24.4
Interaction_T1_212,7HSZJ,15.2,20.1
Interaction_T1_213,7HSZJ,18.9,23.4
Interaction_T1_214,H0Q6V,4.2,13.1
Interaction_T1_216,GLSU2,13.1,19.3
Interaction_T1_217,GLSU2,23.8,29.2
Interaction_T1_218,GLSU2,14.2,19.7
Interaction_T1_226,TBRZ5,7.0,13.2
Interaction_T1_227,TBRZ5,6.8,15.6
Interaction_T1_228,GQ341,0.0,4.3
Interaction_T1_229,3HLP7,0.8,7.2
Interaction_T1_230,9UU4W,7.9,15.5
Interaction_T1_231,9UU4W,20.2,26.1
Interaction_T1_232,9UU4W,14.5,21.5
Interaction_T1_235,DGPAW,3.5,12.8
Interaction_T1_236,E002I,4.7,14.1
Interaction_T1_238,E002I,3.0,8.3
Interaction_T1_239,E002I,4.1,9.4
Interaction_T1_240,YIG5G,9.9,15.7
Interaction_T1_241,YIG5G,7.0,12.6
Interaction_T1_242,4H61U,11.9,17.8
Interaction_T1_246,5B9XE,3.0,10.5
Interaction_T1_247,5B9XE,6.5,11.3
Interaction_T1_250,TU9K1,37.0,42.0
Interaction_T1_251,TU9K1,20.1,25.1
Interaction_T1_252,TU9K1,15.7,21.0
Interaction_T1_253,RON2M,10.2,19.5
Interaction_T1_254,RON2M,16.3,23.2
Interaction_T1_258,PCNUP,4.3,9.7
Interaction_T1_259,PCNUP,9.3,13.8
Interaction_T1_260,V6RRM,6.1,12.5
Interaction_T1_262,6CAZU,10.6,16.1
Interaction_T1_263,QLAS7,10.6,18.5
Interaction_T1_264,QLAS7,8.5,16.6
Interaction_T1_265,AGGSE,17.2,21.8
Interaction_T1_268,0WYBK,7.5,12.1
Interaction_T1_270,GMPHO,31.4,41.0
Interaction_T1_271,GMPHO,31.4,41.0
Interaction_T1_272,GMPHO,17.0,22.8
Interaction_T1_273,RAGOI,8.7,12.0
Interaction_T1_274,RAGOI,0.0,6.8
Interaction_T1_275,RAGOI,5.0,11.0
Interaction_T1_276,HHNTA,23.9,31.6
Interaction_T1_277,HHNTA,24.9,31.1
Interaction_T1_278,2P7A9,18.8,24.0
Interaction_T1_279,2P7A9,26.5,35.8
Interaction_T1_280,2P7A9,28.3,37.0
Interaction_T1_281,2P7A9,28.9,37.0
Interaction_T1_282,2P7A9,22.0,26.7
Interaction_T1_283,3VT73,7.7,12.4
Interaction_T1_284,3VT73,8.4,13.1
Interaction_T1_285,3VT73,10.4,15.9
Interaction_T1_287,D1WYU,7.2,14.4
Interaction_T1_288,D1WYU,20.3,25.2
Interaction_T1_289,D1WYU,8.1,13.8
Interaction_T1_292,AOK1L,32.1,36.0
Interaction_T1_293,VIN5T,1.4,6.0
Interaction_T1_294,VIN5T,1.5,6.2
Interaction_T1_296,JTXAM,13.8,19.1
Interaction_T1_297,MXATD,0.0,6.0
Interaction_T1_298,MXATD,0.2,6.0
Interaction_T1_299,MXATD,0.6,9.0
Interaction_T1_300,H608V,0.9,7.9
Interaction_T1_301,H608V,10.1,15.4
Interaction_T1_302,H608V,3.1,8.4
Interaction_T1_303,CIUVA,25.6,32.6
Interaction_T1_304,CIUVA,33.2,38.8
Interaction_T1_305,CIUVA,6.4,12.0
Interaction_T1_306,CIUVA,46.5,55.0
Interaction_T1_307,YB67Z,13.7,18.9
Interaction_T1_308,YB67Z,14.3,21.0
Interaction_T1_309,YB67Z,11.9,19.1
Interaction_T1_310,YB67Z,12.7,22.3
Interaction_T1_311,S7OTQ,1.2,7.2
Interaction_T1_314,S7OTQ,0.0,7.9
Interaction_T1_320,1O1JS,0.0,3.7
Interaction_T1_321,1O1JS,26.2,30.9
Interaction_T1_322,FRGXE,19.6,23.0
Interaction_T1_323,FRGXE,10.8,15.6
Interaction_T1_325,GFPDD,7.3,13.0
Interaction_T1_326,GFPDD,20.9,29.0
Interaction_T1_327,9VF2C,14.5,19.5
Interaction_T1_328,9VF2C,14.6,19.4
Interaction_T1_329,YNWMW,9.9,15.9
Interaction_T1_330,YE47Y,5.6,11.2
Interaction_T1_331,YE47Y,3.8,8.3
Interaction_T1_332,YE47Y,7.7,12.3
Interaction_T1_333,13XM4,9.3,13.6
Interaction_T1_334,2B8ML,9.1,14.9
Interaction_T1_335,2B8ML,4.8,9.6
Interaction_T1_340,LE7PM,0.0,4.1
Interaction_T1_341,LE7PM,0.0,4.4
Interaction_T1_343,JKGTN,0.0,3.8
Interaction_T1_344,JKGTN,29.5,34.0
Interaction_T1_345,120YL,35.0,43.0
Interaction_T1_346,120YL,4.8,9.7
Interaction_T1_347,120YL,14.8,20.5
Interaction_T1_350,A2X7Q,11.1,18.7
Interaction_T1_351,YAFX0,26.3,31.8
Interaction_T1_353,NO1GJ,16.4,25.4
Interaction_T1_354,NO1GJ,15.9,25.8
Interaction_T1_355,SLT0S,0.0,4.0
Interaction_T1_356,SLT0S,6.5,12.8
Interaction_T1_357,1L5D3,13.6,21.6
Interaction_T1_358,1L5D3,2.9,10.0
Interaction_T1_359,L5YHH,4.8,10.4
Interaction_T1_360,L5YHH,0.0,3.6
Interaction_T1_361,UUPJS,6.6,13.1
Interaction_T1_362,UUPJS,10.9,15.8
Interaction_T1_365,UUPJS,2.6,9.1
Interaction_T1_366,UUPJS,13.7,20.1
Interaction_T1_367,C7R3J,0.0,5.3
Interaction_T1_368,C7R3J,2.6,9.0
Interaction_T1_369,W019T,6.2,11.3
Interaction_T1_370,B32CU,28.9,34.0
Interaction_T1_372,92WXO,0.9,6.8
Interaction_T1_373,3N1I2,14.2,20.3
Interaction_T1_375,S572F,13.0,21.0
Interaction_T1_376,S572F,0.6,10.4
Interaction_T1_377,X817Z,17.4,21.7
Interaction_T1_379,ATV2F,12.7,20.7
Interaction_T1_381,EXYY8,14.1,20.0
Interaction_T1_382,EXYY8,1.4,7.3
Interaction_T1_383,GOPZI,6.0,12.9
Interaction_T1_384,GOPZI,13.5,19.4
Interaction_T1_385,36T5X,0.0,4.0
Interaction_T1_386,36T5X,14.2,23.0
Interaction_T1_387,5P284,19.9,25.1
Interaction_T1_388,5P284,0.0,4.2
Interaction_T1_389,L0HDB,5.7,13.8
Interaction_T1_390,L0HDB,5.0,10.8
Interaction_T1_391,IWTWJ,13.2,20.8
Interaction_T1_393,IWTWJ,4.2,9.5
Interaction_T1_395,K7NRW,0.0,4.6
Interaction_T1_396,FVINY,28.8,32.0
Interaction_T1_397,FVINY,25.1,29.6
Interaction_T1_398,VE6GK,24.7,32.0
Interaction_T1_399,VE6GK,0.0,6.7
Interaction_T1_400,VE6GK,24.6,29.5
Interaction_T1_402,VE6GK,11.2,19.7
Interaction_T1_403,VE6GK,1.0,6.2
Interaction_T1_404,CUHT0,0.0,8.3
Interaction_T1_408,4CAB5,15.6,21.7
Interaction_T1_409,4CAB5,13.0,20.2
Interaction_T1_411,HLB3J,0.0,4.2
Interaction_T1_412,VG7S6,0.0,4.5
Interaction_T1_413,VG7S6,3.3,7.8
Interaction_T1_415,YNF6O,4.9,9.4
Interaction_T1_416,XOWBN,16.2,22.7
Interaction_T1_417,XOWBN,16.2,22.2
Interaction_T1_418,CG83G,16.5,22.6
Interaction_T1_419,CG83G,16.8,22.7
Interaction_T1_420,TKAUR,19.9,27.6
Interaction_T1_421,TKAUR,27.0,31.6
Interaction_T1_423,TKAUR,14.0,19.1
Interaction_T1_424,TKAUR,3.2,8.9
Interaction_T1_425,NJANX,3.0,9.7
Interaction_T1_426,NJANX,17.7,22.0
Interaction_T1_427,NJANX,2.4,9.6
Interaction_T1_428,URK3G,0.0,7.1
Interaction_T1_430,GV0L7,10.8,17.6
Interaction_T1_432,TRHT1,0.0,4.2
Interaction_T1_434,CXNYW,15.8,22.6
Interaction_T1_435,CXNYW,23.3,28.4
Interaction_T1_436,1AA3I,26.0,32.5
Interaction_T1_443,61IVZ,2.6,9.2
Interaction_T1_444,61IVZ,5.8,13.3
Interaction_T1_445,61IVZ,0.0,5.3
Interaction_T1_446,61IVZ,17.0,22.5
Interaction_T1_447,61IVZ,17.0,22.5
Interaction_T1_448,6HT0J,5.0,12.8
Interaction_T1_449,6HT0J,2.8,9.0
Interaction_T1_450,6HT0J,19.4,25.3
Interaction_T1_451,6HT0J,5.3,11.5
Interaction_T1_452,OT35M,6.9,12.0
Interaction_T1_453,W0QSB,25.9,35.0
Interaction_T1_454,W0QSB,25.6,35.0
Interaction_T1_455,C83CH,11.9,17.0
Interaction_T1_456,C83CH,11.9,17.0
Interaction_T1_457,5NG6Q,9.9,18.1
Interaction_T1_458,5NG6Q,13.8,21.0
Interaction_T1_459,5NG6Q,17.7,25.4
Interaction_T1_460,5NG6Q,17.6,25.6
Interaction_T1_461,6OQYV,0.0,4.9
Interaction_T1_462,6OQYV,5.5,13.2
Interaction_T1_463,6OQYV,1.4,7.8
Interaction_T1_464,LKH9A,6.4,11.9
Interaction_T1_465,LKH9A,24.2,29.8
Interaction_T1_469,JP5NM,4.3,8.8
Interaction_T1_471,PJDUN,0.0,4.3
Interaction_T1_473,PJDUN,11.3,16.1
Interaction_T1_475,PJDUN,22.7,28.4
Interaction_T1_476,C1DK7,4.2,10.2
Interaction_T1_479,C1DK7,17.1,21.6
Interaction_T1_480,3LIGG,3.5,10.6
Interaction_T1_481,WPU76,0.0,6.7
Interaction_T1_482,WPU76,14.2,20.2
Interaction_T1_483,LXEPT,0.2,8.2
Interaction_T1_484,LXEPT,14.6,19.9
Interaction_T1_485,LXEPT,4.4,11.6
Interaction_T1_486,LXEPT,14.8,20.2
Interaction_T1_487,LXEPT,8.9,13.7
Interaction_T1_489,WTIQ3,27.9,32.6
Interaction_T1_491,WTIQ3,9.0,14.9
Interaction_T1_492,WTIQ3,5.4,11.0
Interaction_T1_493,2AIP4,2.0,6.3
Interaction_T1_494,2AIP4,13.9,19.5
Interaction_T1_495,30I35,1.5,9.1
Interaction_T1_496,30I35,13.6,18.8
Interaction_T1_497,30I35,6.0,11.1
Interaction_T1_498,1E1EN,26.7,32.0
Interaction_T1_499,FJYZH,4.8,9.2
Interaction_T1_500,FJYZH,10.0,15.0
Interaction_T1_501,FJYZH,11.3,19.0
Interaction_T1_502,ECW3E,14.7,20.5
Interaction_T1_503,ECW3E,9.3,16.3
Interaction_T1_506,V0ZD9,23.5,28.5
Interaction_T1_508,G7K5A,0.0,7.6
Interaction_T1_509,R4SJJ,42.4,48.0
Interaction_T1_510,R4SJJ,0.3,6.7
Interaction_T1_511,R4SJJ,6.2,10.9
Interaction_T1_512,R4SJJ,2.2,7.8
Interaction_T1_514,R4SJJ,27.9,34.0
Interaction_T1_515,R4SJJ,24.8,29.3
Interaction_T1_516,R4SJJ,42.1,46.8
Interaction_T1_517,ZX37G,7.6,13.0
Interaction_T1_518,ZX37G,0.0,8.1
Interaction_T1_520,YHXU9,14.7,19.2
Interaction_T1_522,YHXU9,19.3,25.0
Interaction_T1_526,PH5VU,30.5,37.4
Interaction_T1_528,WUTHF,0.6,5.3
Interaction_T1_530,WUTHF,6.7,11.1
Interaction_T1_531,VJG6E,9.0,18.0
Interaction_T1_532,VJG6E,2.7,9.4
Interaction_T1_533,VJG6E,3.0,10.0
Interaction_T1_534,RUKXT,3.6,12.3
Interaction_T1_536,8V8HC,1.6,8.0
Interaction_T1_537,8V8HC,1.7,7.1
Interaction_T1_538,9JZO2,17.9,27.3
Interaction_T1_540,0UK3H,2.1,8.2
Interaction_T1_541,JKWJ6,13.8,23.1
Interaction_T1_542,JKWJ6,20.9,27.1
Interaction_T1_543,JFBTV,19.6,24.6
Interaction_T1_545,5C4EK,5.4,11.4
Interaction_T1_547,I87SH,0.0,8.1
Interaction_T1_548,I87SH,0.0,8.5
Interaction_T1_549,U5RYN,0.0,3.6
Interaction_T1_551,QMIKJ,0.7,9.8
Interaction_T1_552,P8G2P,6.2,14.7
Interaction_T1_553,P8G2P,24.5,31.0
Interaction_T1_555,4KK20,12.0,17.4
Interaction_T1_556,62AC0,0.0,10.0
Interaction_T1_557,62AC0,1.0,10.0
Interaction_T1_558,62AC0,5.0,10.0
Interaction_T1_559,NW0KT,42.6,50.0
Interaction_T1_561,NW0KT,8.6,13.9
Interaction_T1_563,VSLJG,13.5,22.9
Interaction_T1_564,V8IGX,20.2,28.0
Interaction_T1_566,V8IGX,15.8,22.8
Interaction_T1_568,W5YUE,7.9,16.2
Interaction_T1_571,W5YUE,9.7,15.5
Interaction_T1_572,4H935,0.0,7.3
Interaction_T1_573,M6HAF,0.0,4.2
Interaction_T1_574,M6HAF,5.8,11.9
Interaction_T1_575,NYHD7,0.0,4.7
Interaction_T1_576,NYHD7,18.0,26.9
Interaction_T1_577,NYHD7,22.4,27.2
Interaction_T1_578,JEB7V,29.0,32.0
Interaction_T1_579,JEB7V,24.7,32.0
Interaction_T1_580,JEB7V,23.1,28.2
Interaction_T1_581,81R72,22.9,29.8
Interaction_T1_582,BEJVY,4.2,9.9
Interaction_T1_583,BEJVY,0.0,7.3
Interaction_T1_584,BEJVY,6.8,12.1
Interaction_T1_586,C6INR,17.6,21.7
Interaction_T1_587,C6INR,32.5,36.0
Interaction_T1_588,C6INR,0.0,3.8
Interaction_T1_589,C6INR,9.6,16.5
Interaction_T1_591,93HQR,22.9,29.6
Interaction_T1_593,MNNJS,27.7,33.0
Interaction_T1_594,WT46G,1.1,7.5
Interaction_T1_595,WT46G,28.9,36.0
Interaction_T1_598,TRVEA,5.5,11.1
Interaction_T1_599,TRVEA,0.0,3.6
Interaction_T1_600,TRVEA,3.6,9.2
Interaction_T1_601,TRVEA,6.7,12.9
Interaction_T1_602,TRVEA,3.6,8.1
Interaction_T1_603,TBEV0,10.6,17.0
Interaction_T1_604,TBEV0,7.7,16.4
Interaction_T1_605,TBEV0,15.0,19.6
Interaction_T1_606,5HPZ1,16.2,22.6
Interaction_T1_607,5HPZ1,19.4,25.8
Interaction_T1_608,5HPZ1,29.9,35.0
Interaction_T1_609,NI15V,12.9,21.3
Interaction_T1_610,NI15V,13.2,19.8
Interaction_T1_611,3Q6N1,0.0,4.4
Interaction_T1_615,S2FUO,0.0,9.8
Interaction_T1_616,5OV3M,16.8,23.5
Interaction_T1_617,5OV3M,20.0,26.8
Interaction_T1_618,1BGZ0,9.5,15.2
Interaction_T1_619,1BGZ0,4.2,9.4
Interaction_T1_620,T7ST5,6.8,11.6
Interaction_T1_621,EMXAG,4.8,10.0
Interaction_T1_622,EMXAG,0.0,4.4
Interaction_T1_624,SJ4IG,8.7,14.8
Interaction_T1_625,SVIXG,17.3,27.3
Interaction_T1_626,XJA7Z,0.0,6.3
Interaction_T1_627,XJA7Z,4.6,10.4
Interaction_T1_628,Q0IHP,20.5,26.3
Interaction_T1_629,Q0IHP,22.7,27.4
Interaction_T1_630,Q0IHP,28.8,33.9
Interaction_T1_631,8SDK5,16.7,23.0
Interaction_T1_632,X11CU,3.2,13.2
Interaction_T1_633,PLJIZ,9.9,17.5
Interaction_T1_634,PLJIZ,0.0,4.3
Interaction_T1_635,1VF27,3.8,9.9
Interaction_T1_636,1VF27,14.5,21.0
Interaction_T1_637,1VF27,15.2,20.6
Interaction_T1_640,9PXI9,21.8,27.4
Interaction_T1_641,9PXI9,14.6,20.1
Interaction_T1_642,9PXI9,17.2,22.4
Interaction_T1_643,3W1GP,2.9,8.7
Interaction_T1_644,3W1GP,32.2,36.0
Interaction_T1_645,3W1GP,7.8,16.2
Interaction_T1_646,3W1GP,8.2,16.4
Interaction_T1_647,YGL6R,4.8,14.8
Interaction_T1_648,YGL6R,21.1,28.8
Interaction_T1_649,TJIK7,3.9,9.4
Interaction_T1_650,TJIK7,16.4,23.2
Interaction_T1_651,U9KYC,21.3,29.4
Interaction_T1_652,9MNZ5,21.1,27.2
Interaction_T1_653,9MNZ5,9.0,13.8
Interaction_T1_654,9MNZ5,10.4,17.8
Interaction_T1_656,448J4,13.1,22.7
Interaction_T1_657,448J4,7.0,12.6
Interaction_T1_658,H032R,0.2,6.5
Interaction_T1_659,H032R,0.0,4.5
Interaction_T1_660,H032R,10.3,17.0
Interaction_T1_661,H032R,1.3,6.7
Interaction_T1_662,JHB0M,5.0,11.2
Interaction_T1_663,1RD2K,0.0,5.5
Interaction_T1_664,1RD2K,0.0,5.5
Interaction_T1_666,PUY34,3.6,11.0
Interaction_T1_667,PUY34,1.0,6.1
Interaction_T1_668,QACLT,12.9,18.9
Interaction_T1_669,QACLT,6.4,11.0
Interaction_T1_670,GY8P2,8.5,13.8
Interaction_T1_671,4FX6G,25.0,29.6
Interaction_T1_672,4FX6G,23.8,28.8
Interaction_T1_673,4FX6G,17.2,22.7
Interaction_T1_674,99B6U,4.4,11.5
Interaction_T1_675,99B6U,9.9,15.5
Interaction_T1_676,DR7K0,13.9,20.7
Interaction_T1_678,TJJKK,4.1,9.8
Interaction_T1_679,TJJKK,2.4,8.0
Interaction_T1_680,TJJKK,6.1,10.0
Interaction_T1_683,15RTV,9.9,15.4
Interaction_T1_684,2TAT3,21.3,26.9
Interaction_T1_685,2TAT3,21.4,26.6
Interaction_T1_687,DSI0N,0.0,7.0
Interaction_T1_688,BRQBD,0.0,4.1
Interaction_T1_689,BRQBD,27.2,33.7
Interaction_T1_690,BRQBD,8.3,15.1
Interaction_T1_691,X9LP4,12.5,19.5
Interaction_T1_692,X9LP4,26.7,31.7
Interaction_T1_693,1W6YY,0.8,6.6
Interaction_T1_694,1W6YY,2.3,7.3
Interaction_T1_695,1W6YY,3.5,7.9
Interaction_T1_696,LR0L8,1.2,10.3
Interaction_T1_697,M98YV,5.1,11.6
Interaction_T1_698,L0QNM,27.4,31.0
Interaction_T1_699,9OCQT,1.5,7.5
Interaction_T1_701,G2DIN,11.5,18.8
Interaction_T1_702,G2DIN,6.3,13.9
Interaction_T1_703,G2DIN,23.1,33.0
Interaction_T1_704,2FPB3,8.0,15.8
Interaction_T1_705,FC2SK,3.8,10.9
Interaction_T1_706,FC2SK,13.0,17.6
Interaction_T1_707,FC2SK,7.8,13.8
Interaction_T1_709,FC2SK,14.8,20.5
Interaction_T1_710,Q5MDU,2.4,7.9
Interaction_T1_711,ON2Z4,22.1,28.0
Interaction_T1_713,ON2Z4,8.4,16.3
Interaction_T1_714,ON2Z4,18.4,23.7
Interaction_T1_715,9KDP0,7.8,12.6
Interaction_T1_716,9KDP0,5.8,11.2
Interaction_T1_717,9KDP0,24.0,29.2
Interaction_T1_718,9KDP0,17.1,22.7
Interaction_T1_719,9KDP0,0.0,3.2
Interaction_T1_720,9KDP0,10.6,20.2
Interaction_T1_721,9KDP0,22.9,31.0
Interaction_T1_722,MBAA5,2.7,12.4
Interaction_T1_723,MBAA5,15.8,22.6
Interaction_T1_724,TDAY1,27.9,33.4
Interaction_T1_725,TDAY1,24.4,30.0
Interaction_T1_726,21WN7,19.6,26.1
Interaction_T1_727,21WN7,15.1,20.8
Interaction_T1_728,VZE8E,3.5,8.7
Interaction_T1_730,VZE8E,3.1,8.5
Interaction_T1_732,VZE8E,0.0,4.3
Interaction_T1_733,VZE8E,3.1,8.5
Interaction_T1_734,VHD24,21.1,28.0
Interaction_T1_735,VHD24,13.2,17.5
Interaction_T1_736,4TX4N,0.0,6.8
Interaction_T1_737,YQT32,16.5,21.8
Interaction_T1_739,U5T4M,8.9,14.1
Interaction_T1_743,U5T4M,13.4,21.0
Interaction_T1_744,8SXHK,13.8,19.8
Interaction_T1_745,ZNQVC,24.4,32.0
Interaction_T1_746,68OG0,14.2,19.1
Interaction_T1_747,NL9AW,4.8,10.0
Interaction_T1_749,NL9AW,2.2,7.8
Interaction_T1_752,B1AMA,13.7,20.2
Interaction_T1_754,Y665P,14.5,22.8
Interaction_T1_760,YMD74,0.3,6.3
Interaction_T1_761,YMD74,0.3,6.3
Interaction_T1_762,YMD74,7.5,14.5
Interaction_T1_767,6ZWSU,11.6,19.8
Interaction_T1_768,D6MZ4,17.6,24.0
Interaction_T1_769,D6MZ4,14.6,23.3
Interaction_T1_770,RX7TC,0.0,6.4
Interaction_T1_771,RX7TC,7.1,12.0
Interaction_T1_772,BQOLV,8.2,13.1
Interaction_T1_773,BQOLV,5.8,11.7
Interaction_T1_776,YOCI8,0.0,9.0
Interaction_T1_777,YOCI8,1.0,8.8
Interaction_T1_778,GHJ3Q,0.0,5.9
